time,meanpercentstart
0.0044679641723632,0.00625
0.004547119140625,0.00625
0.0046017169952392,0.00625
0.0046489238739013,0.00625
6.963070869445801,0.00625
8.344632863998413,0.00625
8.826672077178955,0.00625
9.95857000350952,0.59375
10.570815324783323,0.59375
11.485970973968506,0.625
11.718597888946531,0.625
11.992556095123293,0.625
13.47861099243164,0.625
13.779548168182371,0.625
15.5923330783844,0.625
16.972763061523438,0.625
18.09043312072754,0.6875
18.766167163848877,0.6875
19.567028999328613,0.6875
21.49953007698059,0.6875
22.717211961746216,0.71875
23.242183923721313,0.71875
24.09126901626587,0.71875
24.175191164016724,0.71875
24.58287477493286,0.71875
25.05031991004944,0.71875
25.50294303894043,0.71875
26.01852798461914,0.78125
27.41782784461975,0.78125
27.520620107650757,0.78125
31.18854308128357,0.8125
31.466450929641724,0.8125
31.812981128692627,0.8125
32.70171809196472,0.8125
33.11205792427063,0.8125
33.21667814254761,0.8125
33.37904095649719,0.8125
34.99661302566528,0.84375
35.28696393966675,0.84375
37.18079400062561,0.84375
38.99865508079529,0.84375
40.229928970336914,0.84375
40.99979901313782,0.84375
41.85320210456848,0.875
42.22715806961059,0.875
42.80465888977051,0.875
44.215662717819214,0.875
46.05012893676758,0.875
46.21085476875305,0.875
48.81892514228821,0.875
50.17356491088867,0.875
50.79906487464905,0.875
51.75993299484253,0.90625
52.13438010215759,0.90625
52.55912804603577,0.90625
52.637102127075195,0.90625
53.747875928878784,0.90625
55.583048820495605,0.90625
57.58917593955994,0.90625
57.70553708076477,0.90625
58.554961919784546,0.90625
59.68346190452576,0.90625
60.60035991668701,0.90625
61.44660115242005,0.90625
62.729483127593994,0.90625
63.35209226608277,0.90625
64.49621415138245,0.90625
65.72528195381165,0.9375
66.7947461605072,0.9375
67.66288208961487,0.9375
68.15494298934937,0.9375
68.63736391067505,0.9375
69.71960186958313,0.9375
70.41126084327698,0.9375
72.30684399604797,0.9375
73.74920201301575,0.9375
74.50447487831116,0.9375
75.09455513954163,0.9375
75.23167371749878,0.9375
76.95953106880188,0.9375
77.46461272239685,0.9375
78.37642312049866,0.9375
78.84563493728638,0.9375
80.45127415657043,0.9375
81.0628228187561,0.9375
82.06330895423889,0.9375
83.70848107337952,0.9375
85.83596515655518,0.9375
87.23298573493958,0.9375
87.3273298740387,0.9375
88.08883619308472,0.96875
88.70175170898438,0.96875
88.85723090171814,0.96875
89.89443683624268,0.96875
91.11229491233826,0.96875
91.47403407096864,0.96875
94.98402285575868,0.96875
96.5726237297058,0.96875
96.8351149559021,0.96875
99.84466791152954,1.0
