time,meanpercentstart
0.0045032501220703,0.00625
0.0045070648193359,0.00625
0.0045900344848632,0.00625
0.0046188831329345,0.00625
0.0046930313110351,0.00625
0.0048582553863525,0.00625
5.987196922302246,0.00625
7.527901887893677,0.00625
8.114907026290894,0.00625
8.25980520248413,0.59375
9.152741193771362,0.59375
9.467825174331663,0.59375
9.606786012649536,0.59375
9.84971308708191,0.59375
9.8926682472229,0.609375
9.946167945861816,0.625
10.769691228866575,0.625
11.278772830963137,0.625
11.32335090637207,0.625
11.994945049285889,0.625
12.956482172012327,0.625
15.089148998260498,0.625
16.43235731124878,0.625
16.843190908432007,0.625
17.1627299785614,0.625
17.164705991744995,0.625
20.322499990463257,0.640625
21.220973014831543,0.640625
22.126562118530273,0.671875
22.3740918636322,0.703125
22.99578619003296,0.734375
23.34085178375244,0.734375
23.606805086135864,0.734375
24.035736799240112,0.734375
25.010382175445557,0.734375
25.7506799697876,0.734375
25.869403839111328,0.734375
27.694350242614743,0.75
28.046180248260494,0.75
29.236669301986694,0.765625
30.017498016357425,0.78125
30.543391942977905,0.78125
30.768100023269653,0.78125
30.88572406768799,0.78125
31.51083207130432,0.78125
32.44005370140076,0.78125
32.49858903884888,0.78125
34.576571226119995,0.796875
35.15722393989563,0.796875
36.9926221370697,0.8125
36.99490714073181,0.8125
37.711386919021606,0.828125
37.97184109687805,0.828125
38.67647314071655,0.84375
38.77331280708313,0.84375
39.16090178489685,0.84375
39.69718718528747,0.84375
39.69941711425781,0.84375
40.23002004623413,0.84375
40.317306995391846,0.84375
40.38007712364197,0.84375
42.70865321159363,0.859375
43.34540295600891,0.859375
43.55332708358765,0.875
44.11913013458252,0.875
44.54073429107666,0.875
45.116008043289185,0.875
46.86041879653931,0.890625
48.32533288002014,0.90625
48.360146045684814,0.90625
48.60600590705872,0.90625
48.9063081741333,0.90625
50.28988313674927,0.90625
51.26008224487305,0.90625
51.71472787857056,0.90625
52.43643116950989,0.921875
52.76318907737732,0.921875
52.83651113510132,0.921875
52.94693183898926,0.921875
53.75786304473877,0.921875
53.96761107444763,0.921875
54.42436909675598,0.921875
55.05531191825867,0.921875
56.66321301460266,0.9375
57.56791424751282,0.953125
58.46397590637207,0.953125
58.56819796562195,0.953125
59.14392709732056,0.953125
63.17524719238281,0.96875
64.17493224143982,0.96875
64.2929310798645,0.96875
65.21468305587769,0.96875
65.45937323570251,0.96875
66.19913792610168,0.96875
66.53016424179077,0.96875
66.96750211715698,0.96875
68.2384603023529,0.96875
70.18239998817444,0.96875
72.00092911720276,0.96875
72.41690015792847,1.0
