time,meanpercentroleuniqueClient
0.0215051174163818,0.0
0.1063208580017089,0.0
0.1650381088256836,0.0503778337531486
0.2388532161712646,0.0503778337531486
0.3311779499053955,0.0755667506297229
0.4484529495239258,0.08816120906801006
0.5118839740753174,0.1007556675062972
0.6677720546722412,0.13727959697732994
0.8367149829864502,0.1498740554156171
0.9961941242218018,0.15365239294710326
1.2498929500579834,0.1574307304785894
1.4993510246276855,0.22166246851385385
1.6764369010925293,0.234256926952141
1.8261241912841797,0.234256926952141
1.972970962524414,0.2418136020151133
2.0874719619750977,0.2720403022670025
2.186836004257202,0.29848866498740556
2.4630117416381836,0.33753148614609574
2.6364588737487793,0.3501259445843829
3.01278305053711,0.7481108312342569
3.2032530307769775,0.7581863979848866
3.511612892150879,0.783375314861461
3.696220874786377,0.8022670025188916
3.83103609085083,0.8022670025188916
3.9692962169647217,0.8022670025188916
4.14329719543457,0.8060453400503778
4.358531951904297,0.8375314861460956
4.768913269042969,0.8551637279596978
5.0364990234375,0.8589420654911839
5.264259099960327,0.8627204030226701
5.447751045227051,0.8753148614609572
5.565777778625488,0.8740554156171285
5.673864126205444,0.8740554156171285
5.80374002456665,0.8778337531486147
5.932284116744995,0.8778337531486147
6.032136917114258,0.885390428211587
6.151758670806885,0.8891687657430731
6.28831672668457,0.8904282115869018
6.399079084396362,0.8891687657430731
6.523560047149658,0.8891687657430731
6.6887218952178955,0.8904282115869018
6.864251136779785,0.8904282115869018
7.091632127761841,0.8916876574307304
7.350291967391968,0.8916876574307304
7.512349128723144,0.8916876574307304
7.632073163986206,0.8916876574307304
7.794812917709351,0.8916876574307304
7.940943002700806,0.9193954659949622
8.15926194190979,0.9193954659949622
8.343109130859375,0.9193954659949622
8.542323112487793,0.9193954659949622
8.745332956314087,0.9307304785894206
8.852046251296997,0.9395465994962215
8.998454093933105,0.9395465994962215
9.171870231628418,0.9395465994962215
9.355499029159546,0.9395465994962215
9.572659969329834,0.9395465994962215
9.723772048950195,0.9395465994962215
9.930456638336182,0.9395465994962215
10.157400846481323,0.9395465994962215
10.344624042510986,0.9395465994962215
10.550260066986084,0.9395465994962215
10.71680212020874,0.9395465994962215
10.908138036727903,0.9534005037783375
11.09986925125122,0.9546599496221662
11.266785144805908,0.9609571788413098
11.464103937149048,0.9609571788413098
11.731865882873535,0.9609571788413098
12.005558013916016,0.9609571788413098
12.319082975387571,0.964735516372796
12.565530061721802,0.964735516372796
12.842533826828005,0.964735516372796
13.046717882156372,0.964735516372796
13.221570014953612,0.964735516372796
13.446218013763428,0.964735516372796
13.703641176223757,0.9685138539042821
13.97282576560974,0.9685138539042821
14.267300128936768,0.9685138539042821
14.42372465133667,0.9697732997481108
14.54372525215149,0.9697732997481108
14.711911916732788,0.9697732997481108
14.90860891342163,0.9697732997481108
15.057827949523926,0.9697732997481108
15.308795928955078,0.9697732997481108
15.472436904907228,0.9697732997481108
15.615700006484984,0.9697732997481108
15.732523202896118,0.9785894206549117
15.895895957946776,0.9785894206549117
16.08835005760193,0.982367758186398
16.26563787460327,0.982367758186398
16.48334002494812,0.982367758186398
16.706395149230957,0.982367758186398
16.99949073791504,0.9874055415617128
17.197921752929688,0.9874055415617128
17.385547637939453,0.9924433249370276
17.621891975402832,0.9924433249370276
17.787034273147583,0.9924433249370276
18.00914168357849,0.9924433249370276
18.153029918670654,0.9962216624685138
18.371824264526367,1.0
