time_elapsed,covered_<request>,total_<request>,percent_<request>,covered_<response>,total_<response>,percent_<response>,covered_<start>,total_<start>,percent_<start>,covered___role_Client,total___role_Client,percent___role_Client,covered___role_Gpt,total___role_Gpt,percent___role_Gpt,covered___role_all_party,total___role_all_party,percent___role_all_party,covered___role_unique_Client,total___role_unique_Client,percent___role_unique_Client,covered___role_unique_Gpt,total___role_unique_Gpt,percent___role_unique_Gpt,covered___role_unique_all_party,total___role_unique_all_party,percent___role_unique_all_party
0.0041501522064208984,0,133,0.0,0,3,0.0,1,160,0.00625,0,133,0.0,0,3,0.0,0,136,0.0,0,133,0.0,0,3,0.0,0,136,0.0
11.585084915161133,76,133,0.5714285714285714,0,3,0.0,95,160,0.59375,76,133,0.5714285714285714,0,3,0.0,76,136,0.5588235294117647,76,133,0.5714285714285714,0,3,0.0,76,136,0.5588235294117647
13.478479862213135,76,133,0.5714285714285714,3,3,1.0,100,160,0.625,76,133,0.5714285714285714,3,3,1.0,79,136,0.5808823529411765,76,133,0.5714285714285714,3,3,1.0,79,136,0.5808823529411765
13.480696201324463,76,133,0.5714285714285714,3,3,1.0,100,160,0.625,76,133,0.5714285714285714,3,3,1.0,79,136,0.5808823529411765,76,133,0.5714285714285714,3,3,1.0,79,136,0.5808823529411765
21.499423027038574,90,133,0.6766917293233082,3,3,1.0,115,160,0.71875,90,133,0.6766917293233082,3,3,1.0,93,136,0.6838235294117647,90,133,0.6766917293233082,3,3,1.0,93,136,0.6838235294117647
23.239896059036255,90,133,0.6766917293233082,3,3,1.0,115,160,0.71875,90,133,0.6766917293233082,3,3,1.0,93,136,0.6838235294117647,90,133,0.6766917293233082,3,3,1.0,93,136,0.6838235294117647
23.242085933685303,90,133,0.6766917293233082,3,3,1.0,115,160,0.71875,90,133,0.6766917293233082,3,3,1.0,93,136,0.6838235294117647,90,133,0.6766917293233082,3,3,1.0,93,136,0.6838235294117647
30.10359501838684,105,133,0.7894736842105263,3,3,1.0,130,160,0.8125,105,133,0.7894736842105263,3,3,1.0,108,136,0.7941176470588235,105,133,0.7894736842105263,3,3,1.0,108,136,0.7941176470588235
31.81063199043274,105,133,0.7894736842105263,3,3,1.0,130,160,0.8125,105,133,0.7894736842105263,3,3,1.0,108,136,0.7941176470588235,105,133,0.7894736842105263,3,3,1.0,108,136,0.7941176470588235
31.812860012054443,105,133,0.7894736842105263,3,3,1.0,130,160,0.8125,105,133,0.7894736842105263,3,3,1.0,108,136,0.7941176470588235,105,133,0.7894736842105263,3,3,1.0,108,136,0.7941176470588235
37.24989175796509,114,133,0.8571428571428571,3,3,1.0,140,160,0.875,114,133,0.8571428571428571,3,3,1.0,117,136,0.8602941176470589,114,133,0.8571428571428571,3,3,1.0,117,136,0.8602941176470589
38.613280057907104,114,133,0.8571428571428571,3,3,1.0,140,160,0.875,114,133,0.8571428571428571,3,3,1.0,117,136,0.8602941176470589,114,133,0.8571428571428571,3,3,1.0,117,136,0.8602941176470589
38.61570405960083,114,133,0.8571428571428571,3,3,1.0,140,160,0.875,114,133,0.8571428571428571,3,3,1.0,117,136,0.8602941176470589,114,133,0.8571428571428571,3,3,1.0,117,136,0.8602941176470589
50.173377990722656,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
51.88831686973572,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
51.89071702957153,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
62.729251861572266,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
64.49600315093994,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
64.4984519481659,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
72.78888297080994,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
74.50425386428833,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
74.5067138671875,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
81.0625548362732,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
82.70553302764893,123,133,0.924812030075188,3,3,1.0,150,160,0.9375,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942,123,133,0.924812030075188,3,3,1.0,126,136,0.9264705882352942
