time_elapsed,covered_<dns_req>,total_<dns_req>,percent_<dns_req>,covered_<dns_resp>,total_<dns_resp>,percent_<dns_resp>,covered_<exchange>,total_<exchange>,percent_<exchange>,covered_<start>,total_<start>,percent_<start>,covered___role_Client,total___role_Client,percent___role_Client,covered___role_Server,total___role_Server,percent___role_Server,covered___role_all_party,total___role_all_party,percent___role_all_party,covered___role_unique_Client,total___role_unique_Client,percent___role_unique_Client,covered___role_unique_Server,total___role_unique_Server,percent___role_unique_Server,covered___role_unique_all_party,total___role_unique_all_party,percent___role_unique_all_party
0.007889747619628906,0,151,0.0,0,644,0.0,0,826,0.0,1,873,0.001145475372279496,0,151,0.0,0,644,0.0,0,795,0.0,0,151,0.0,0,644,0.0,0,707,0.0
0.2732820510864258,125,151,0.8278145695364238,0,644,0.0,150,826,0.18159806295399517,165,873,0.18900343642611683,125,151,0.8278145695364238,0,644,0.0,125,795,0.15723270440251572,125,151,0.8278145695364238,0,644,0.0,125,707,0.1768033946251768
1.5933430194854736,125,151,0.8278145695364238,281,644,0.4363354037267081,409,826,0.49515738498789347,446,873,0.5108820160366552,125,151,0.8278145695364238,281,644,0.4363354037267081,406,795,0.5106918238993711,125,151,0.8278145695364238,281,644,0.4363354037267081,338,707,0.4780763790664781
1.7238976955413818,125,151,0.8278145695364238,281,644,0.4363354037267081,409,826,0.49515738498789347,446,873,0.5108820160366552,125,151,0.8278145695364238,281,644,0.4363354037267081,406,795,0.5106918238993711,125,151,0.8278145695364238,281,644,0.4363354037267081,338,707,0.4780763790664781
1.9216628074645996,127,151,0.8410596026490066,281,644,0.4363354037267081,412,826,0.49878934624697335,449,873,0.5143184421534936,127,151,0.8410596026490066,281,644,0.4363354037267081,408,795,0.5132075471698113,127,151,0.8410596026490066,281,644,0.4363354037267081,340,707,0.4809052333804809
3.2822699546813965,127,151,0.8410596026490066,428,644,0.6645962732919255,577,826,0.698547215496368,619,873,0.709049255441008,127,151,0.8410596026490066,428,644,0.6645962732919255,555,795,0.6981132075471698,127,151,0.8410596026490066,428,644,0.6645962732919255,485,707,0.685997171145686
3.4061989784240723,127,151,0.8410596026490066,428,644,0.6645962732919255,577,826,0.698547215496368,619,873,0.709049255441008,127,151,0.8410596026490066,428,644,0.6645962732919255,555,795,0.6981132075471698,127,151,0.8410596026490066,428,644,0.6645962732919255,485,707,0.685997171145686
3.678870916366577,139,151,0.9205298013245033,428,644,0.6645962732919255,587,826,0.7106537530266344,629,873,0.720504009163803,139,151,0.9205298013245033,428,644,0.6645962732919255,567,795,0.7132075471698113,139,151,0.9205298013245033,428,644,0.6645962732919255,494,707,0.6987270155586988
4.957682847976685,139,151,0.9205298013245033,437,644,0.6785714285714286,591,826,0.715496368038741,633,873,0.7250859106529209,139,151,0.9205298013245033,437,644,0.6785714285714286,576,795,0.7245283018867924,139,151,0.9205298013245033,437,644,0.6785714285714286,497,707,0.7029702970297029
5.061129808425903,139,151,0.9205298013245033,437,644,0.6785714285714286,591,826,0.715496368038741,633,873,0.7250859106529209,139,151,0.9205298013245033,437,644,0.6785714285714286,576,795,0.7245283018867924,139,151,0.9205298013245033,437,644,0.6785714285714286,497,707,0.7029702970297029
5.297960996627808,151,151,1.0,437,644,0.6785714285714286,604,826,0.7312348668280871,646,873,0.7399770904925544,151,151,1.0,437,644,0.6785714285714286,588,795,0.7396226415094339,151,151,1.0,437,644,0.6785714285714286,509,707,0.7199434229137199
6.863825798034668,151,151,1.0,559,644,0.8680124223602484,735,826,0.8898305084745762,781,873,0.8946162657502864,151,151,1.0,559,644,0.8680124223602484,710,795,0.8930817610062893,151,151,1.0,559,644,0.8680124223602484,622,707,0.8797736916548797
7.051905870437622,151,151,1.0,559,644,0.8680124223602484,735,826,0.8898305084745762,781,873,0.8946162657502864,151,151,1.0,559,644,0.8680124223602484,710,795,0.8930817610062893,151,151,1.0,559,644,0.8680124223602484,622,707,0.8797736916548797
7.2361321449279785,151,151,1.0,559,644,0.8680124223602484,735,826,0.8898305084745762,781,873,0.8946162657502864,151,151,1.0,559,644,0.8680124223602484,710,795,0.8930817610062893,151,151,1.0,559,644,0.8680124223602484,622,707,0.8797736916548797
8.60773777961731,151,151,1.0,559,644,0.8680124223602484,735,826,0.8898305084745762,781,873,0.8946162657502864,151,151,1.0,559,644,0.8680124223602484,710,795,0.8930817610062893,151,151,1.0,559,644,0.8680124223602484,622,707,0.8797736916548797
8.72213077545166,151,151,1.0,559,644,0.8680124223602484,735,826,0.8898305084745762,781,873,0.8946162657502864,151,151,1.0,559,644,0.8680124223602484,710,795,0.8930817610062893,151,151,1.0,559,644,0.8680124223602484,622,707,0.8797736916548797
9.011178970336914,151,151,1.0,559,644,0.8680124223602484,735,826,0.8898305084745762,781,873,0.8946162657502864,151,151,1.0,559,644,0.8680124223602484,710,795,0.8930817610062893,151,151,1.0,559,644,0.8680124223602484,622,707,0.8797736916548797
10.361078023910522,151,151,1.0,559,644,0.8680124223602484,735,826,0.8898305084745762,781,873,0.8946162657502864,151,151,1.0,559,644,0.8680124223602484,710,795,0.8930817610062893,151,151,1.0,559,644,0.8680124223602484,622,707,0.8797736916548797
10.492244958877563,151,151,1.0,559,644,0.8680124223602484,735,826,0.8898305084745762,781,873,0.8946162657502864,151,151,1.0,559,644,0.8680124223602484,710,795,0.8930817610062893,151,151,1.0,559,644,0.8680124223602484,622,707,0.8797736916548797
